KDD17,Stocknet,EconomyNews,Phrasebank,BBCSport,SLSAmazon,SLSIMBD,SLSYelp,STSGold
-121.6129,-101.1072,-97.3825,-99.1646,-98.68,-97.5273,-97.5422,-97.5187,-97.9186
-29.7789,-121.2823,-98.082,-104.691,-102.8927,-98.5854,-98.6752,-98.5809,-99.9412
-1.9393,-7.2794,-119.0565,-12.7254,-14.7573,-60.0589,-60.6667,-60.3645,-29.6504
-16.9988,-63.8735,-100.1201,-125.2258,-108.2688,-100.89,-101.0184,-100.9124,-103.3051
-14.1377,-53.1458,-99.6398,-92.6284,-125.1508,-100.5769,-100.88,-100.7689,-103.8269
-3.5539,-13.3151,-107.0254,-23.1629,-27.1655,-127.5615,-114.1863,-114.2934,-55.7328
-3.5309,-13.26,-106.3638,-23.0271,-27.1502,-112.9405,-127.1805,-113.8473,-55.4768
-3.535,-13.2699,-106.9412,-23.1099,-27.2632,-113.9619,-114.7472,-128.7887,-55.8802
-7.1101,-26.6009,-102.4361,-46.3939,-55.0211,-105.4451,-105.7858,-105.7502,-125.0263
