Date,Articles
2014-11-14,"{""abstract"": ""A new ad from Pfister parodies a classic Calvin Klein Obsession commercial to poke fun at campaigns that portray household faucets as luxury goods."", ""web_url"": ""https://www.nytimes.com/2014/11/14/business/media/with-a-whisper-pfister-takes-a-comedic-jab-at-highbrow-faucet-commercials.html"", ""snippet"": ""A new ad from Pfister parodies a classic Calvin Klein Obsession commercial to poke fun at campaigns that portray household faucets as luxury goods."", ""lead_paragraph"": ""HOUSEHOLD faucets are the essence of functionality, but they are often advertised as luxury goods. Last year, for example, one of the leading faucet brands, Moen, introduced a television commercial in which a model in an evening dress sashays into a bathroom and puts on a gleaming, oversize necklace. The necklace then slips from her neck and, through digital animation, scatters into pieces on the counter, reassembling as a faucet. \u201cStatement piece for your bathroom,\u201d says a voice-over. "", ""print_section"": ""B"", ""print_page"": ""4"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/14/business/Adco/Adco-articleLarge.jpg"", ""height"": 400, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2014/11/14/business/Adco/Adco-articleLarge.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 400}}, {""rank"": 0, ""subtype"": ""jumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/14/business/Adco/Adco-jumbo.jpg"", ""height"": 682, ""width"": 1024, ""subType"": ""jumbo"", ""crop_name"": ""jumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""superJumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/14/business/Adco/Adco-superJumbo.jpg"", ""height"": 1151, ""width"": 1727, ""subType"": ""superJumbo"", ""crop_name"": ""superJumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/14/business/Adco/Adco-thumbStandard.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2014/11/14/business/Adco/Adco-thumbStandard.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}, {""rank"": 0, ""subtype"": ""thumbLarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/14/business/Adco/Adco-thumbLarge.jpg"", ""height"": 150, ""width"": 150, ""subType"": ""thumbLarge"", ""crop_name"": ""thumbLarge"", ""legacy"": {}}], ""headline"": {""main"": ""With a Whisper, Pfister Takes a Comedic Jab at Highbrow Faucet Commercials"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""With a Whisper, Pfister Takes a Comedic Jab at Highbrow Faucet Commercials"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""organizations"", ""value"": ""Pfister (Spectrum Brands Holdings Inc)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Newman, Andrew Adam"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""ADVERTISING AND MARKETING"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Newell, Matt"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Home Appliances"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2014-11-14T01:26:51+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Andrew Adam Newman"", ""person"": [{""firstname"": ""Andrew"", ""middlename"": ""Adam"", ""lastname"": ""Newman"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/2785b05e-c72e-50dc-8ac8-b833738a4947"", ""word_count"": 911, ""uri"": ""nyt://article/2785b05e-c72e-50dc-8ac8-b833738a4947""}"
2014-11-22,"{""abstract"": ""Prices are likely to rise further because the auction has no definite end and could continue for days or weeks."", ""web_url"": ""https://www.nytimes.com/2014/11/23/business/media/bidding-in-government-auction-of-airwaves-reaches-34-billion.html"", ""snippet"": ""Prices are likely to rise further because the auction has no definite end and could continue for days or weeks."", ""lead_paragraph"": ""WASHINGTON \u2014 A government auction of airwaves for use in mobile broadband has blown through presale estimates, becoming the biggest auction in the Federal Communications Commission\u2019s history and signaling that wireless companies expect demand for Internet access by smartphones to continue to soar."", ""print_section"": ""B"", ""print_page"": ""1"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/24/business/spectrum/spectrum-articleLarge.jpg"", ""height"": 332, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2014/11/24/business/spectrum/spectrum-articleLarge.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 332}}, {""rank"": 0, ""subtype"": ""jumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/24/business/spectrum/spectrum-jumbo.jpg"", ""height"": 567, ""width"": 1024, ""subType"": ""jumbo"", ""crop_name"": ""jumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""superJumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/24/business/spectrum/spectrum-superJumbo.jpg"", ""height"": 1135, ""width"": 2048, ""subType"": ""superJumbo"", ""crop_name"": ""superJumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/24/business/spectrum/spectrum-thumbStandard.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2014/11/24/business/spectrum/spectrum-thumbStandard.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}, {""rank"": 0, ""subtype"": ""thumbLarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2014/11/24/business/spectrum/spectrum-thumbLarge.jpg"", ""height"": 150, ""width"": 150, ""subType"": ""thumbLarge"", ""crop_name"": ""thumbLarge"", ""legacy"": {}}], ""headline"": {""main"": ""Bidding in Government Auction of Airwaves Reaches $34 Billion"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""Bidding in U.S. Auction of Airwaves Reaches $34 Billion"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""persons"", ""value"": ""Wyatt, Edward"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Federal Communications Commission"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Wireless Communications"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Computers and the Internet"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Auctions"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Radio Spectrum"", ""rank"": 6, ""major"": ""N""}], ""pub_date"": ""2014-11-22T22:40:13+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Business Day"", ""subsection_name"": ""Media"", ""byline"": {""original"": ""By Edward Wyatt"", ""person"": [{""firstname"": ""Edward"", ""middlename"": null, ""lastname"": ""Wyatt"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/61cbb34a-0cf9-5afa-83d3-aa78520352a9"", ""word_count"": 1044, ""uri"": ""nyt://article/61cbb34a-0cf9-5afa-83d3-aa78520352a9""}"
2016-04-29,"{""abstract"": ""The agency reached its maximum target for a giant airwave auction that will support the next generation of wireless Internet services."", ""web_url"": ""https://www.nytimes.com/2016/04/30/technology/tv-stations-agree-to-sell-enough-spectrum-to-meet-fccs-goal.html"", ""snippet"": ""The agency reached its maximum target for a giant airwave auction that will support the next generation of wireless Internet services."", ""lead_paragraph"": ""WASHINGTON \u2014 The federal government is ready to set off a huge land grab for valuable spectrum, the last of its kind for the foreseeable future."", ""print_section"": ""B"", ""print_page"": ""2"", ""source"": ""The New York Times"", ""multimedia"": [{""rank"": 0, ""subtype"": ""xlarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2016/04/30/business/30FCC/30FCC-articleLarge.jpg"", ""height"": 396, ""width"": 600, ""subType"": ""xlarge"", ""crop_name"": ""articleLarge"", ""legacy"": {""xlarge"": ""images/2016/04/30/business/30FCC/30FCC-articleLarge.jpg"", ""xlargewidth"": 600, ""xlargeheight"": 396}}, {""rank"": 0, ""subtype"": ""jumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2016/04/30/business/30FCC/30FCC-jumbo.jpg"", ""height"": 675, ""width"": 1024, ""subType"": ""jumbo"", ""crop_name"": ""jumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""superJumbo"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2016/04/30/business/30FCC/30FCC-superJumbo.jpg"", ""height"": 1350, ""width"": 2048, ""subType"": ""superJumbo"", ""crop_name"": ""superJumbo"", ""legacy"": {}}, {""rank"": 0, ""subtype"": ""thumbnail"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2016/04/30/business/30FCC/30FCC-thumbStandard.jpg"", ""height"": 75, ""width"": 75, ""subType"": ""thumbnail"", ""crop_name"": ""thumbStandard"", ""legacy"": {""thumbnail"": ""images/2016/04/30/business/30FCC/30FCC-thumbStandard.jpg"", ""thumbnailwidth"": 75, ""thumbnailheight"": 75}}, {""rank"": 0, ""subtype"": ""thumbLarge"", ""caption"": null, ""credit"": null, ""type"": ""image"", ""url"": ""images/2016/04/30/business/30FCC/30FCC-thumbLarge.jpg"", ""height"": 150, ""width"": 150, ""subType"": ""thumbLarge"", ""crop_name"": ""thumbLarge"", ""legacy"": {}}], ""headline"": {""main"": ""TV Stations Agree to Sell Enough Spectrum to Meet F.C.C.\u2019s Goal"", ""kicker"": null, ""content_kicker"": null, ""print_headline"": ""TV Stations Meet F.C.C.\u2019s Goal on the Sale of Spectrum"", ""name"": null, ""seo"": null, ""sub"": null}, ""keywords"": [{""name"": ""subject"", ""value"": ""Wireless Communications"", ""rank"": 1, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Federal Communications Commission"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Television"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Radio Spectrum"", ""rank"": 5, ""major"": ""N""}], ""pub_date"": ""2016-04-29T20:02:48+0000"", ""document_type"": ""article"", ""news_desk"": ""Business"", ""section_name"": ""Technology"", ""byline"": {""original"": ""By Cecilia Kang"", ""person"": [{""firstname"": ""Cecilia"", ""middlename"": null, ""lastname"": ""Kang"", ""qualifier"": null, ""title"": null, ""role"": ""reported"", ""organization"": """", ""rank"": 1}], ""organization"": null}, ""type_of_material"": ""News"", ""_id"": ""nyt://article/129a9b38-ecd6-5ac5-bd3d-73c7b2e31e92"", ""word_count"": 528, ""uri"": ""nyt://article/129a9b38-ecd6-5ac5-bd3d-73c7b2e31e92""}"
